year,constituencyNumber,district,constituency,registeredVoters,validVotes,voterTurnout,fourPartyAlliance,fourPartyAlliancePercentage,mohajote,mohajotePercentage,awamiLeague,awamiLeaguePercentage,bangladeshNationalParty,bangladeshNationalPartyPercentage,jatiyaParty,jatiyaPartyPercentage,jamaatIslami,jamaatIslamiPercentage,others,othersPercentage,blank,winner
2008,201,Narsingdi,NARSINGDI3,200499,180244,89.9,15646,8.68,93746,52.01,,,,,,,,,70516,39.12,336,MOHAJOTE
2008,202,Narsingdi,NARSINGDI4,289560,235773,81.42,78789,33.42,145989,61.92,,,,,,,,,10586,4.49,409,MOHAJOTE
2008,203,Narsingdi,NARSINGDI5,250348,223370,89.22,77549,34.72,142416,63.76,,,,,,,,,2573,1.15,832,MOHAJOTE
2008,204,Faridpur,NARAYANGANJ1,275049,245856,89.39,95673,38.91,143279,58.28,,,,,,,,,6012,2.45,892,MOHAJOTE
2008,205,Faridpur,NARAYANGANJ2,217445,198691,91.38,78675,39.6,117435,59.1,,,,,,,,,2048,1.03,533,MOHAJOTE
2008,206,Faridpur,NARAYANGANJ3,362562,316598,87.32,110062,34.76,192659,60.85,,,,,,,,,12423,3.92,1454,MOHAJOTE
2008,207,Faridpur,NARAYANGANJ4,365059,292536,80.13,138686,47.41,141075,48.22,,,,,,,,,10911,3.73,1864,MOHAJOTE
2008,208,Faridpur,NARAYANGANJ5,360943,311354,86.26,127149,40.84,174651,56.09,,,,,,,,,3989,1.28,5565,MOHAJOTE
2008,209,Rajbari,RAJBARI1,269126,237041,88.08,83933,35.41,141561,59.72,,,,,,,,,10802,4.56,745,MOHAJOTE
2008,210,Rajbari,RAJBARI2,357198,328261,91.9,132817,40.46,191961,58.48,,,,,,,,,2563,0.78,920,MOHAJOTE
2008,211,Faridpur,FARIDPUR1,317487,284134,89.49,72285,25.44,175387,61.73,,,,,,,,,36012,12.67,450,MOHAJOTE
2008,212,Faridpur,FARIDPUR2,216438,193209,89.27,75726,39.19,116498,60.3,,,,,,,,,377,0.2,608,MOHAJOTE
2008,213,Faridpur,FARIDPUR3,267448,232056,86.77,30821,13.28,122047,52.59,,,,,,,,,78308,33.75,880,MOHAJOTE
2008,214,Faridpur,FARIDPUR4,277154,238466,86.04,3937,1.65,157491,66.04,,,,,,,,,76553,32.1,485,MOHAJOTE
2008,215,Gopalganj,GOPALGANJ1,242152,202977,83.82,9986,4.92,183234,90.27,,,,,,,,,6810,3.36,2947,MOHAJOTE
